# source_api_id	status	crystal_refs	notes
src/char_data/mod.rs::func::bidi_class	missing	-	baseline
src/char_data/mod.rs::func::is_rtl	missing	-	baseline
src/char_data/mod.rs::struct::HardcodedBidiData	missing	-	baseline
src/char_data/tables.rs::const::UNICODE_VERSION	missing	-	baseline
src/char_data/tables.rs::enum::BidiClass	missing	-	baseline
src/data_source.rs::struct::BidiMatchedOpeningBracket	missing	-	baseline
src/data_source.rs::trait::BidiDataSource	missing	-	baseline
src/deprecated.rs::func::visual_runs	missing	-	baseline
src/format_chars.rs::const::ALM	missing	-	baseline
src/format_chars.rs::const::FSI	missing	-	baseline
src/format_chars.rs::const::LRE	missing	-	baseline
src/format_chars.rs::const::LRI	missing	-	baseline
src/format_chars.rs::const::LRM	missing	-	baseline
src/format_chars.rs::const::LRO	missing	-	baseline
src/format_chars.rs::const::PDF	missing	-	baseline
src/format_chars.rs::const::PDI	missing	-	baseline
src/format_chars.rs::const::RLE	missing	-	baseline
src/format_chars.rs::const::RLI	missing	-	baseline
src/format_chars.rs::const::RLM	missing	-	baseline
src/format_chars.rs::const::RLO	missing	-	baseline
src/implicit.rs::func::resolve_levels	missing	-	baseline
src/level.rs::const::LTR_LEVEL	missing	-	baseline
src/level.rs::const::MAX_EXPLICIT_DEPTH	missing	-	baseline
src/level.rs::const::MAX_IMPLICIT_DEPTH	missing	-	baseline
src/level.rs::const::RTL_LEVEL	missing	-	baseline
src/level.rs::enum::Error	missing	-	baseline
src/level.rs::func::bidi_class	missing	-	baseline
src/level.rs::func::from_slice_unchecked	missing	-	baseline
src/level.rs::func::has_rtl	missing	-	baseline
src/level.rs::func::is_ltr	missing	-	baseline
src/level.rs::func::is_rtl	missing	-	baseline
src/level.rs::func::lower	missing	-	baseline
src/level.rs::func::ltr	missing	-	baseline
src/level.rs::func::max_explicit_depth	missing	-	baseline
src/level.rs::func::max_implicit_depth	missing	-	baseline
src/level.rs::func::new	missing	-	baseline
src/level.rs::func::new_explicit	missing	-	baseline
src/level.rs::func::new_explicit_next_ltr	missing	-	baseline
src/level.rs::func::new_explicit_next_rtl	missing	-	baseline
src/level.rs::func::new_lowest_ge_rtl	missing	-	baseline
src/level.rs::func::number	missing	-	baseline
src/level.rs::func::raise	missing	-	baseline
src/level.rs::func::raise_explicit	missing	-	baseline
src/level.rs::func::rtl	missing	-	baseline
src/level.rs::func::vec	missing	-	baseline
src/level.rs::method::Level.ltr	missing	-	baseline
src/level.rs::struct::Level	missing	-	baseline
src/lib.rs::enum::Direction	missing	-	baseline
src/lib.rs::func::direction	missing	-	baseline
src/lib.rs::func::has_rtl	missing	-	baseline
src/lib.rs::func::len	missing	-	baseline
src/lib.rs::func::level_at	missing	-	baseline
src/lib.rs::func::new	missing	-	baseline
src/lib.rs::func::reorder_line	missing	-	baseline
src/lib.rs::func::reorder_visual	missing	-	baseline
src/lib.rs::func::reordered_levels	missing	-	baseline
src/lib.rs::func::reordered_levels_per_char	missing	-	baseline
src/lib.rs::func::visual_runs	missing	-	baseline
src/lib.rs::method::BidiInfo.new	missing	-	baseline
src/lib.rs::method::InitialInfo.new	missing	-	baseline
src/lib.rs::method::Paragraph.new	missing	-	baseline
src/lib.rs::method::ParagraphBidiInfo.new	missing	-	baseline
src/lib.rs::method::ParagraphInfo.len	missing	-	baseline
src/lib.rs::method::Utf8IndexLenIter.new	missing	-	baseline
src/lib.rs::struct::BidiInfo	missing	-	baseline
src/lib.rs::struct::InitialInfo	missing	-	baseline
src/lib.rs::struct::Paragraph	missing	-	baseline
src/lib.rs::struct::ParagraphBidiInfo	missing	-	baseline
src/lib.rs::struct::ParagraphInfo	missing	-	baseline
src/lib.rs::struct::Utf8IndexLenIter	missing	-	baseline
src/lib.rs::trait::Sealed	missing	-	baseline
src/lib.rs::trait::TextSource	missing	-	baseline
src/prepare.rs::func::isolating_run_sequences	missing	-	baseline
src/prepare.rs::func::not_removed_by_x9	missing	-	baseline
src/prepare.rs::func::removed_by_x9	missing	-	baseline
src/prepare.rs::struct::IsolatingRunSequence	missing	-	baseline
src/prepare.rs::type::IsolatingRunSequenceVec	missing	-	baseline
src/prepare.rs::type::LevelRun	missing	-	baseline
src/prepare.rs::type::LevelRunVec	missing	-	baseline
src/utf16.rs::func::direction	missing	-	baseline
src/utf16.rs::func::has_rtl	missing	-	baseline
src/utf16.rs::func::level_at	missing	-	baseline
src/utf16.rs::func::new	missing	-	baseline
src/utf16.rs::func::reorder_line	missing	-	baseline
src/utf16.rs::func::reorder_visual	missing	-	baseline
src/utf16.rs::func::reordered_levels	missing	-	baseline
src/utf16.rs::func::reordered_levels_per_char	missing	-	baseline
src/utf16.rs::func::visual_runs	missing	-	baseline
src/utf16.rs::method::BidiInfo.new	missing	-	baseline
src/utf16.rs::method::InitialInfo.new	missing	-	baseline
src/utf16.rs::method::Paragraph.new	missing	-	baseline
src/utf16.rs::method::ParagraphBidiInfo.new	missing	-	baseline
src/utf16.rs::method::Utf16CharIndexIter.new	missing	-	baseline
src/utf16.rs::method::Utf16CharIter.new	missing	-	baseline
src/utf16.rs::method::Utf16IndexLenIter.new	missing	-	baseline
src/utf16.rs::struct::BidiInfo	missing	-	baseline
src/utf16.rs::struct::InitialInfo	missing	-	baseline
src/utf16.rs::struct::Paragraph	missing	-	baseline
src/utf16.rs::struct::ParagraphBidiInfo	missing	-	baseline
src/utf16.rs::struct::Utf16CharIndexIter	missing	-	baseline
src/utf16.rs::struct::Utf16CharIter	missing	-	baseline
src/utf16.rs::struct::Utf16IndexLenIter	missing	-	baseline
